Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",true,Sticker Size x Quantity,Style #1-5 - 25-49,STICKER-1-5-25-49,0,shopify,100,deny,manual,0.47,,true,true,,https://cdn.shopify.com/s/files/1/0819/2170/4255/files/Sticker-Main.png?v=1740500238,1,,false,,,lb,active
custom-stickers,,,,,,,,,Style #1-5 - 50-99,STICKER-1-5-50-99,0,shopify,100,deny,manual,0.28,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #1-5 - 100-249,STICKER-1-5-100-249,0,shopify,100,deny,manual,0.18,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #1-5 - 250-499,STICKER-1-5-250-499,0,shopify,100,deny,manual,0.14,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #1-5 - 500+,STICKER-1-5-500plus,0,shopify,100,deny,manual,0.09,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #6-10 - 25-49,STICKER-6-10-25-49,0,shopify,100,deny,manual,0.61,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #6-10 - 50-99,STICKER-6-10-50-99,0,shopify,100,deny,manual,0.36,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #6-10 - 100-249,STICKER-6-10-100-249,0,shopify,100,deny,manual,0.24,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #6-10 - 250-499,STICKER-6-10-250-499,0,shopify,100,deny,manual,0.18,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #6-10 - 500+,STICKER-6-10-500plus,0,shopify,100,deny,manual,0.12,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #11-15 - 25-49,STICKER-11-15-25-49,0,shopify,100,deny,manual,0.74,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #11-15 - 50-99,STICKER-11-15-50-99,0,shopify,100,deny,manual,0.44,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #11-15 - 100-249,STICKER-11-15-100-249,0,shopify,100,deny,manual,0.29,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #11-15 - 250-499,STICKER-11-15-250-499,0,shopify,100,deny,manual,0.22,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #11-15 - 500+,STICKER-11-15-500plus,0,shopify,100,deny,manual,0.15,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #16-20 - 25-49,STICKER-16-20-25-49,0,shopify,100,deny,manual,0.89,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #16-20 - 50-99,STICKER-16-20-50-99,0,shopify,100,deny,manual,0.53,,true,true,,,,,,,,,lb,
custom-stickers,,,,,,,,,Style #16-20 - 100-249,STICKER-16-20-100-249,0,shopify,100,deny,manual,0.35,,true,true,,,,,,,,,lb,
